ID,Plaintext,Ciphertext,Length
167,I only quote this as a trivial example of observation and inference.,"CB,z1NpUF_,zX(-j-@,m0i*Mf(i*^K*8g(r.kiR5;IIKg;rAQi/bvE=q5hKErQBWOv7(",68
168,It was only a line asking me to join him when he made the sign to me to do so.,"GOK#*,#*gEe3esV,U,iUV1w#*,#1kM!09N!-fi26iKES=FrvgsW1*;=zW;:i5r5:ZUuUIW;=*;=2;x",78
169,"It is probable that he will be away all day, and that there would be nothing to disturb you.","dKNN2;#*FiGiDNDFee33M*IMD@emNAMDe!i,3M*jsX#(i261Icqwv;XI5iWr,g#=QrG=g7;XIuPU(tB,WyIr;=But!xR",92
170,"This would be in the year 1878, after he had been eight or nine years in England.","dp pUiOn5!1V-*F,0DNMeVe2M^7-9De3UiDNDF(itII(tB,1ruUOQ0SrgyP;UXB,Pi1uErrvE#61rWWQ2",81
171,You seem most fortunate in having an _employé_ who comes under the full market price.,"CB#3+9VjRe3VD;(,Z#U(uw-zUMF0MUi^AT#O2-VjOXYy;VB2uE.u<51rXArgr*bkxBN=2*It*ruUyS:QMIc:(",85
172,"Unless they are quite new, no two of them write exactly alike.","CrmN^_8eBUV,*Y#:#i!!eBTe9N,*xjiPvu;5=QUN;UvUW=5=x;5BP;U#Zt=Qp(",62
173,"The very first key fitted to perfection, and I drew the drawer open.","B -epNe3U,5OIM!Fbze-ZN^BO8v2UO5jeN6UMkEWup(E;5BR:POdErg7W:vUuUc-PE*k",68
174,But he could not help me in any way.,"dANpUi,#jVGi8X*,3RDI5:y7Wy;PB*1rQ=#x",36
175,"A ventilator is made, a cord is hung, and a lady who sleeps in the bed dies.","2!585,*1(wjO-iun9NpeF5(i5Z9eDM(i#_!Bj#rM6WK.1IG*1F271Iur1QBF<2iR;v3IW;503:iR",76
176,"It is certain, therefore, that my sister was quite alone when she met her end.","d0V,3,e(U,i!wM^;*fie2ENV_3e,a,,*!p*^(i261I*6Fr;5vxv1uK:=IuPiKiI5gkvi5ruU*I5rP2",78
177,"That is why I was so out of breath, for I am a man who takes very little exercise.","C=*D,jb0Ne,qh*-ipVM9(Vae3nN(-d-a(A(NU(i_N6K1IN=r#IREuE=+#u1xrrZg:QiR;oNpP=ruvi-7;(",82
178,It was worth an effort to preserve it.,bijeq##**aqUM3#ifi26iKi.ugr(x6;=cNPM1R,38
179,Hosmer Angel came to the house again and proposed that we should marry before father came back.,"c_5,LV,_O,aDNVMND-O!3M*8Y/#NpUpoey-e3#*,Le gV,Yoy*rSirG*;=uURuUFFrQBcJy3;XIV;RtBGS=,xvEK5rG*0Z4",95
180,One sorrow comes close upon the heels of another.,"*,Gp(-qjV,*gKeY^(,ZU-#O!Gv;.kU2*IcyUT.;5;V6E=Qy5k",49
181,you find it so?” “Extremely so.,"GO8,,dMUgOBN1OXRyEWB;;yI1Kv*k;x",31
182,"And, first of all, we must choose our positions.",2g:E/VXeY-*25eijm(-2UODgSBEWuE=QriUdu:RyUyr2II.R,48
183,The largest landed proprietor in that part is a Mr.,"*iM=39-_3Ui#Ci/#NDp,2 9,,t5WQiuWQ*BcJrN.1ruK:QI;gpk",51
184,Your right hand is quite a size larger than your left.,"bq,NKUM*e-nerOM^;*=NpV*FVNaatW1u;QB;iI5g;1U<rP;XrxtW(R",54
185,"I hardened my heart, and took the smoke-rocket from under my ulster.","*^q55VD;V-OC7-0<(e3P/*IM^9,NV805M(rX7P3:=5QIg7;xAuUTf#k_NEkBt*r2;65k",68
186,"I sprang from my bed, wrapped a shawl round me, and rushed into the corridor.","*Ki#*,*Z1N,yVIMjVIXV!MOM8/MiDDNV#(#p#O.;cQ1.J:=,Bi<b3g;XPWy7:Ug7Wu5BWR;5:.r2k",77
187,It corresponds with the injuries.,"2!N!i,*31(I/qVZ3.I2SN27IUu;51ltiR",33
188,Then he offered to give us a chance of talking to Lord St.,"b,5o#*FWm*YeBM*Mye!-ZN,zYeV0N6P;UxOvBR1pUug:X7Ux;QAr;=k7;R",58
189,"I knew my man, however, and I clapped a pistol to his head before he could strike.","Cr3O8X*,e#q5s,(i#* 2g9N o^(NpeejgV!MNV0W(r?V:=Gr;O9P1QBrcZ*BFBu.;=II5Z0(.U5:y7;tp(",82
190,"And what conclusions did the coroner come to?” “He investigated the case with great care, for Dr.","*v#Oj9*_,-31ef*,*8_F2j1e-Ug*,ZV!-Ze3N;(gE8BZ3MiIQ7iXI276I.IBBuU2kvr2*;yIpUWMu1K3;5:KUUu1vK:QUE.:k",97
191,Even his voice was gentle.,"C^0-fi^g,=V0mpP;;p=*iK1Pt(",26
192,I should not ask it of you if I did not think you a quite exceptional woman.” “I will try.,d3e!iO3BMFeAFG^8eBT9NKP133FN;((iX5Y3ikMGi8X((ruy7Wygs1IxEy1=rBBkIuWAxIFN;U#*dE<r(Gk=WiWrtx,90
193,For half an hour I sat with straining ears.,"29,F1p3O3134(VXVp(mV#-.;Q=Q;yrrXIUu;tFrriQR",43
194,"What did you do, then?","1,* 5X5I5_UdK::Ey:=;56",22
195,"There were no signs of violence upon any of these garments, and there were no other traces of Mr.","*iY(^M*e3-Feei,,*IMzB,9-z,*YNpU/5^0 0(-=FOFeei,,t5viPUk;16E=A.P*;2rQ=x;551Q*6Ig7;5viPUkEuP;<*Ixpk",97
196,"I may tell you that, besides Mr.",*iqIq5^M*X5j^NM(rG=5SEy;XI0N:Npk,32
197,"The table was set out ready for me, and Mr.","*iIMjV#OunVd-COfijs*,t5;wviK;NEuW#2E.:Ug7pk",43
198,He would show me how to turn the stone into money.,"d!-#Bi!ZO,*iT#*gV,U-O8Xi Miy7;RU*;O;=uS;5;Rv16=2vx",50
199,"I think, Watson, that if we drive to Baker Street we shall just be in time for breakfast.” VII.","2q3bf.nNVaeU*1e528em(eiC,CV+4#*ji5!(i_3egJAeri*.;Ih1Gu.1uK1=V:rM;= MruvNiUuQrDu0UW;:Uxr+#4KR=Qk",95
200,"But I think I have the key of the affair now.” “And where is it?” I asked, smiling.","G1!(e8kMO1B(i,,iI-3BFVpxM,*YN+e3emVOri*OdquW;IhW;oUuUM=x;5gxFrk(=W7i5v1I;uWgs31TWWE",83
201,"I laid the two tresses together, and I assure you that they were identical.","CL:0Ieei833M*X5,Rf(Npee3 Z(zq3#:e3Np,.WFBuU5=tN5IRiuP1QBrKuvEy;XIu(iPU:PIGk",75
202,"The rest is of the greyish colour, which shows that blotting-paper has been used.","dz50D(MV Hg1bw5_3(g(VBUeNwZV=8#e3(-=3qV,t5WNI;E=uUW(;I2kt1N:IuOIuK0kuWgG*rXI,P;52",81
203,Male costume is nothing new to me.,"CVZU!#13F(i,TY*jAHv:yu*1IkuW1vUR:(",34
204,"But, you know, I have been trained as an actress myself.","2jyVx,bMp(M81M*0DemVO!FvX5^RDIEypkUW;oU,P;<W3gIQgdvu:yPx",56
205,"It is in New Zealand stock, paying 4½ per cent.",b0*e-)#1s-+G2NpmmU+Ui=3.I;1rOUVQQBuJA:aW1):P:PR,47
206,The Embankment is not on the direct line to the station.,"BF_2e3#*!03CU5,*g3F(iB,r@9eN6U: h*61IkI.;5:W3Irv;=uUuKEk",56
207,A clump of copper beeches immediately in front of the hall door has given its name to the place.,"C_ e3#*,A(BUjg(MV/5jMe3(-B-O1Nj_;,U(,CDV /*Y#N^#rcTBx:J*r,35I:*BKP=WEk6E=uUXS:xrXI1Mr;I<*;=uUcZ(",96
208,"Now, how can that be unless it were by a left-handed man?","1MNDpU2j9N5,!3ixj;e5_3ULU-egkO1RUGruK0Utvu1IVv0=FvyKQ*BG6",57
209,Such are the true facts of the death of Dr.,*vYV_De3(-J_OD3e3e9VdDTIQUuUt5EZuE=uU*KIx:k,43
210,"But I would rather not talk about the creature, Mr.","*ijN_,*,*dKMlL3FV,_V8XiOdquWiy7WK5rkIXhgzu;5:vKtUpk",51
211,We should be rich men if we had £ 1000 for every poor devil who has been done to death in that den.,BD3M*1V_D#*!KUj5fV-i!j5#/NejVaU1-VsV!(i0V3ie58X(e:Uuy70Urd:P1=V;Z10j!xr9P=2.:9WiR;K0Vr2v;=*KIW;XI*k,99
212,And now let us consider another point.,"b1/V,GpVDEg*y3jUFNgSBkUvIu:.I*rQy5r2WR",38
213,He is as brave as a bulldog and as tenacious as a lobster if he gets his claws upon anyone.,"CgIMgK(p^(i(C-,(ie2X,Mf(X:A^(MIM/8D5MfemN(M=eoU;gI+oUKg0t7=g7gI5<ByIKgWquP1=51NIIIc-IT.gk.(",91
214,"I advertised, and I answered advertisements, but without success.","2qbR3X313ueJ0e=*jsN,!=MOIMDz:eDM.g_PI5Bg7Wg6VvBZM6;3Pu1DIUuyIubNR",65
215,We would not dare to conceive the things which are really mere commonplaces of existence.,"CB^=8(-q_ gVZeeV8m,e9VBU(Fi*,*j0BZ#*,@3FNDFe:U(tBkIGv;=27UM;5;IrIN:IQUvQk:PU2b.cZNE=#;57(",89
216,He is round in the stable lane now.” “The stable lane?” She raised her dark eyebrows.,"2gND,v@V,NzpV,,1!neDLO,53BFep,js2e3UiIXV=eoU;Wy71ruUuwvWQUk(=W5;X+U<vu;5WF5B5rGhiO+OR",85
217,"She would like advice, but is not sure that the matter is not too delicate for communication.","BF_B;VZVae_Bj5/*Gi=V^_V,*_3eNOGi=3ue^0ser,8Xi,D5iy7WpUZA*1DI;Wy;tUuK;5:K5r;Wy;x:P:KUxr2bt:KEk",93
218,We must be at Briony Lodge to meet her.” “And what then?” “You must leave that to me.,"CVZ3M*jn,25NaV1033MiI-3*,3jVZeKoNgiO_e525e:Udu0UK0r.=kBUR:VI5k=W7iXIuPu1aIduW#M;XIR:(",85
219,It has been considered artistic.,b:=*M8eI=ZUj5fV26;K0Vr26:P3g6;I2,32
220,Then there was a loud and authoritative tap.,"GLe!_B#3sNpNX,Mfi,,*0N6P;5viKgWyBQBKu.;KpUX2",44
221,"Turner’s lodge-keeper, his house being the nearest, to ask for assistance.","CBL=xM#OkMZe2,ni,*F05zXV=V, jr X,Oeiu6SP6WJioV*r;;;y50Ur;5W#vu1RgsE.gu;X7(",74
222,What would he do then?,"1,*KeV8Xi_UdKiy7;U2;56",22
223,"Don’t wait up for me in case I should be late.” “How are you getting on?” “Oh, so so.",GOae3V1g#1b NKe9U/Vb^ne58X((ef*1eV#OK3piBg7.6iFITE.:UW:KUruy70U<5x14UQUxIiuW1.u1K1R;x,85
224,"It’s not a very large affair, and of late years it has not done more than just give me a living.","G1!,M,e!-28UM*,-eg5GifVB(9De_,YNpeU4fe-nNe,MGiJ26uWygpP=<rUaYW1QBxWKUOQI;;KWy:.U2v;XrDu1pU*gWpWE",96
225,He would get quite mad if I wanted so much as to join a Sunday-school treat.,"bn3e/3=sI89Ug,Z(M35#O8BA((isV^;*C-8Xi Miy71NiI5:Z1=r#63;=ddgIR0=rFu7aKdxrt#R",76
226,In a hundred other ways he has helped him.,"*iN jVfV,(sie3-8N;VMESg;tc3EuPiaI5;K;P*BI2",42
227,The will is very clear upon that point.,"b1/3M*gKVn^Ne,=e!i,t5iWr;pP=c#rT.;XI2WR",39
228,"Holmes, and I carried the bird all the way to Kilburn.","BN8p#*si,*jM5;e3N!VL(Npeqe/47N1QBrGSiBuU!7gS;5ia;==ltk",54
229,Yet I have a vague impression that as I ran forward something lay upon the ground to the left of me.,"CVY3q,,*ZN;--,*gKNn#13,aN9iaUM((M_3UFx,-iDo,MjM(3z-IrXMgpF51bvuEruKgIr<rxvQBR*uW1<=T.;51ktBR;5W(Ix:(",100
230,The game-keeper adds that within a few minutes of his seeing Mr.,"*iF0z(i(-qd1V0OM1313M*ysV jr,HeN6Ug*oV*rZd;XIUuWgEV:WuNE=II5Urpk",64
231,Very retiring and gentlemanly he was.,"2AeV8pe^0-IMFi:,Ne P=vIrrg71Pt3Qk;U#R",37
232,"I thought of the assistant’s fondness for photography, and his trick of vanishing into the cellar.","*nj*,*Z1#1(1n(-7i*=VIMD#M/G#Va(q;gOJBL=xM,*Y3#X3(ruy;Ix;5gu;X6uE.cNIxrdy=<d=g7;;;r_E=HruW1WR;5:P<k",98
233,"That is quite settled,” said he, rising and putting his lens in his pocket.","b+G-=V1(0,=VF:d-IMFEie,NpOj8^CO^;*=3MtXI;iI5;Nt31;FB51rIrg7:uIr;;WPIW;;:JMR",75
234,"In life or in death, I am ever your loving, “‘MARY.’ “What could she mean by that note, Mr.","*ijGi_3N5p,e(NDZ3Mi32XiV 1 ,NKVj,9(e3n51V-z0U.rrOErW:#u1rZiMrxtWfW11pha=:XI2tBuU*Q0=uKWyUpk",91
235,"Old as is the idea, however, there were one or two details which were new to me.","CVZU!eei3iiqpC5F*#egeei,,*,j!-enIe3(ifN^QBK1IuU:#1RVMr;5viPU.U.;(:NF6iIdiPUvUR:(",80
236,"Holmes, that you can see deeply into the manifold wickedness of the human heart.","b9,UM5e3(-x!871N =pV,*Z1N j5jOp*X5_3eqe/47N1uKEy:Q;V:Vc=WR;5:QE.BU_3vuE=uUuGr5QR",80
237,"Where does the thing come from?’ “‘From Dundee,’ I answered, glancing at the postmark.","c93Y-,*_#1Bn-D,!=MOjjItV--V1#(e#*Fi*,*qKeeUdPU2N;5;Ir:JU.Ju1ikBd7V1Wg6VvB1<7W1K;5:yTQ4",86
238,I hardly looked at his face.,"C_O=V_N+/,85M(rX7kWxMBK;;EZ(",28
239,"With your permission, Miss Stoner, we shall now carry our researches into the inner apartment.” Dr.","*vbB,*HMe1i,*Z1(,*nqVN-59*gijMO!eegC(=i!Fxie-NKVB:;Ixt:PBuErp;Iu.P1V;XSWO:QkEtWN#75IWR;51SPgG6*6x:k",99
240,"Seldom goes out at other times, except when she sings.","2FEe(U,iG^8eqU*e3-_3X( -#8j57J1OIyIKEuP;:N1#*di5ruUIrR",54
241,He has one positive virtue.,"CTU,j:E/eg(MeoUXI.U2IIMpWu(",27
242,"Well, there is nothing very instructive in all this.","2i*jM1e!b521Ne,FiGi=ee3ej!*S1uPU;WyIrpP=Wu6dpUWgS;IR",52
243,"Now, what did you gather from that woman’s appearance?",0BMn/M=p#i_3V-Oe3HNKN;3Mi!QxUiXIBBxIguPEkBuKiJQ6gb#<7N,54
244,I surprised you by beating upon the pavement with my stick.,"cB2NV3130em-,*gK#1_DN5X58=#NO.;tc;3Ey0=,KW1T.;5:o3PIUu:=u:4",59
245,The man’s face peeled off under the sponge like the bark from a tree.,"C,*M#(P95,*+0eF/O,*eI5x-8j e_O=pV,t5:Q6EZU*P3Ex;7P;5;2rUrM;50QA.Jg;v(",69
246,"That was the word the man uttered, and of which his son only caught the last two syllables.","2jsjR#:3f,,**KLN!-gO=V3iiYNpe8eb5pV,*5Fe3(A3MtXI#IuU(7;5:Q;uP31QBxiId;;;.ES=GIu;5WKI5=RSwvR",91
247,We can do nothing until seven o’clock.,cG^/Ujze:;#13F#5p*!*:Q:=kuW1tIr5MrxcJ4,38
248,He made a sweeping bow to the three of us and walked quietly off in the custody of the detective.,"C!b^De3(-uZy*,*1(YN^!TN+miIMy(-jV*,*ZUK#1w!OMDMeoUG*g;V3W1zUR;5;tVE=ug7iQMBNit=x=W;5:uR2E=uU*5dp(",97
249,It is quite separate and was left me by my uncle Ned in Auckland.,dp+d-1N+e^;NVueV2j(ANpe_9wO^;*=3.I;iI5;3QKUQB#Ivy:Uz:=tcUOBWWT?Q2,65
250,We have not yet grasped the results which the reason alone can attain to.,"G*1L_ULegmUanV,*3iiJDqV,*8aM-C5GijMe:UXMWyEN1<T3;5WNtuiId;5W#RrQ.UGrKXW;x",73
251,There was but one way for it.,"bi#Osi!-d5fi,,t5viK0uEviaE.1R",29
252,The King may do what he will without hindrance from one whom he has cruelly wronged.,d gUNjD3(MeV#UegV-O^pN1Vd-Bij1eV_U#5sVFpeN6U=r:a:=NK;UUSi;Ru;WcQ*EkB.UNJ;UXIc5S=P.i2,84
253,"Toller lets him loose every night, and God help the trespasser whom he lays his fangs upon.","B/5YpO=VyneV#UVzfa,*,*w,NaNpe*Fi5j,z/,UVJjVj t.vrvu;:Wx5iMkW1u1QBEB57;5;vTK5rNJ;U<y;;EQ;;2k",91
254,Many people are improved by wearing it short and perhaps I should be among the number.,"*DNi,*F-MDND-OOYMe-IM*-OB#19!N58 #Ue9e w-IAHk:(cUQU:cf30=VQW1;;R6g7:PXdW;RtB,g2r;5WT,k",86
255,Rucastle’s.” “You have done well indeed!” cried Holmes with enthusiasm.,"*fE5B,31(, -8i*V8D1eji!KemVXO32j^fdsTKtVR=gy;oU2viPrW*3j:r3p.*IUui6uIK2",71
256,"I did not gain very much, however, by my inspection.","BFb =i5N5,j!-e35Ne,1H3FN;(rBBkIgWpP=dd1RVMr0=216*dEk",52
257,Those are the principal points about which I wished to be absolutely clear.,"*n^Njd yMD#*8(1(VBU3Xs(Bg-mFBi-,*,Mz-tR5gv;5:r7:Q:=6IwyIN:IrUu3;=,gD.uP=c#k",75
258,Rucastle took me to a small outhouse which stands near the kitchen door.,"*/503Bv,*9!(ILO3iizX3Xem(9#*,P/*j2Lu@Guv;xA*;=FTQryuy5iId;X7IvQ;5p;dP:xk",72
259,But I’ll go home with you.,"dKVBi,-#-jx3RDISS1=R*i;IxR",26
260,The pressure of public opinion can do in the town what the law cannot accomplish.,"*= #bMG1LUne33Mi1Ze3UiKULUF1/30u-YeNx,-,t5:vutUx:8rBJWErGr21ruURPiXIuU<UGSygbJc;R",81
261,"Perhaps it would have been better for both of us had I been sterner, but I meant it for the best.","bq5,*#OB3p,(3ueei^O0D(NM(5YVG5#OebDUj5jMNDF3iYMezPXd1I(tBXM0Vr,uPE.0yIx;IXBr,P;5SP1DIr*QI;E.;50NR",97
262,I think myself that it is a page from some private diary.,d9;e_!#e#O#(eo-M=3i_3(jyVri*.;Ih:yP=uK1I;g:FU.J;JUcpKUBQx,57
263,Sir George Burnwell has been several times lately.,"dj_,qU*mejO0D(Mej1NO #zV0Iri.i0tvPrXI,P;9PQ;:NWKPx",50
264,"You would certainly have been burned, had you lived a few centuries ago.",Go(!NB^Uz9Nj0NKNMe8iuUj5jMN!p*^NDFNaaI(tB*6FS=XM0VrDS31XBxIrMBFOU*6tiIFx,72
265,"Rucastle expressed a delight at the look of it, which seemed quite exaggerated in its vehemence.","CB,,j(BUi8_e/@,^;*8ezVBUeB(-<we33M*Fj5M8x,K,j2Lu@GuviZvu3g:P1ugIuUkfE=;1N:I533iI5i/1PK31r;IM5*7(",96
266,"Your husband, as far as you could see, had his ordinary clothes on?” “But without his collar or tie.","C:V-9jZ(i3X313RV1g(,G^N915-=VsVjzNDZNK(M9OfeI@yVNaat;u 71KEQgIxI2tB5U;Z;;E7WQ=cy5I.u1DIUuyIII2SQErI(",100
267,"I’ll have the other, and I’ll take it now,’ said I.","2NpOjgiBeh*jxNpee3-,*jMez.SrXM;5EuP1QBSS;oU;WO1;FBk",51
268,Pray tell me in what way I can reward you.,"dKN90Vp*Osi_UUi,ej*se.a;Pr*1rNKiaW:QWVQBxR",42
269,"How you startled me, Kate!",e_MjV8^92NKU/4UxIuQt3:UEKe,26
270,"I ordered her to say nothing, but to get a few things packed and my ulster ready.","ds,V^q55NpN+_-Y13Uz93 #*d5 13FN4#*eV8e5-.E7P3;P;=X=kuW10u;=iIFOUuW;:ZMBQB2;65rvZx",81
271,Copyright laws in most countries are in a constant state of change.,"CFM*Ye_23p2g*M1e9(!3;Z3YV1(p,*FN/CJ.1uW-IW:yI2ttiIQUWg:.uQIuKUx:Xr(",67
272,The Adventure of the Speckled Band IX.,"2OI4Nj7 ,,*YeNBjXeN6U7M6tUx;5;*_vB 7W4",38
273,"We compress the earth into bricks, so as to remove them without revealing what they are.","C9N,*_U#1mj,3X31V,*j-,#*f#Oz7i5Z1V*ne3(q##*!*:JcNIuU#6IWR0r_I;=K;=v2M;5BUuyIvMQW1NK;5=Q(",88
274,I did not care to spend more money in a hopeless attempt at recovering them.” “Very naturally.,"djMTANe,3*,*FijZ,3MGebMxj -9Ui8gV,-N0a#*,L3FN;(rBBkIGv;=TPB2v:.(1rFR*vugu3dgIv2Mrr;52=gP=<u<Sx",94
275,I must wire to the King without delay.” We had reached Baker Street and had stopped at the door.,"*/5,*_N /2NMNp3j3,ehO83nVsV!3dnD3X31#1M,*ZeUi25(rduiWUR;5EW1UuyI*<x=*;ZW#d30oP;tVIQBXBuJ*BK;5:xk",96
276,There was one about three miles off.,"2Y(jie,33Xseg(AeeN6PU#I.UwyIuvUBvIxx",36
277,It was no wonder that no one was stirring.,G1V:Ofi!-F3M*eIF#ifi26iKW=(7P;XIkEviK;ISWE,42
278,"Now I have told you all my adventures, Mr.","*iz,T0DM5emNKN *jM(UQxUrXM;.BxIQr2g_PuvIpk",42
279,At least that was my first impression.,"BFx,-i2UO5(A3M*2n,G6W#u;XI#I2EWu1bvuEk",38
280,"Your salary with me, madam, would commence at £ 100 a year.’ “You may imagine, Mr.",*ij1oUNMNaVb9D9UgV3M^0VZNDFe9sVjV31N9mONaat;QQ=Uu:U:ZZ1(tB2bP*gI1j!FOQx1aIG=:FWUpk,82
281,"This is my intimate friend and associate, Dr.",*vj_:afNpN0iO^M:1NV=(itII;:=WIG5ErPBQBKRBKU:k,45
282,"But if you are found again, then all must come out.","bXe#*25emU,*!poN;ae9NK(idqu1=xIQUxtBFFr;5rQrdu:JUyR",51
283,Her gloves were greyish and were worn through at the right forefinger.,"* 1q#O*FV,*_VK-3U#i,!NpV=8#eeiq  V MrWfNiPUW(;IQBVvi.rukIIK;5W1uE.(Wik",70
284,There is something distinctly novel about some of the features.,"2,TnO,*Ye#OdKMj i8b12;#13,a(i,,t5v1IR*uW1BuWdkWfPgzu;JUx;5E#uvR",63
285,I read nothing except the criminal news and the agony column.,"BN *I/M,*IM=!eAii*,*G^8#13FNnV.W#BkuW1#*d;5:rB<rvNg7;5gEk:.Tk",61
286,"It cost me something in foolscap, and I had pretty nearly filled a shelf with my writings.","2F:ii5VBiq,OM8jEN,niTC#NM(Npeo2 aUiFiC#O,3Y*26:yI*;JNIr1rx.TZ1QBrXBcNRW#S==S3g;5ki;I2irIrR",90
287,Having taken the printed description.,BFGi2DN^1#e3U+L#1mooW1XMruUcW5B*TrdEk,37
288,"There was one wing, however, which appeared not to be inhabited at all.","Cm3M8BsUiD#*Gi89 oVBUeejgV 1i!-fi,,t5viKEviW1;O9P1N:IZ*Q3Wy;=,16w;3gIQk",71
289,"I hurried to him, but he passed away without having ever recovered his consciousness.","2qEX:=Z(iN,jZ,Vj,F0M3X31NAM8xHeVd5,i#*8iNV.;tr3;=IB0u;UGu3g#=UuyIXAriMrv2MvBII26BytNR",85
290,These flat brims curled at the edge came in then.,"B,*1e9* 8e33M8,T(UN3nOz,t55E<I+:IdS3gIuU3i:ZUW;5k",49
291,Pray proceed with your statement.” “I could not sleep that night.,b#13M*wjOGi8X*O3b0e_2VX531NjG#NMz<=cJVBUuEyruK3PR=W:y7Wy;v3;XIr;R,65
292,"Holmes, I wish you would do as much for me.","CV#O35(MKNDFNKV=iOz, o.*IWi;IxI(tB2gIddE.:(",43
293,Charming rural place.,C_ eM5#1VMCX7W16<rcZ(,21
294,Palmer and Pritchard were among the heads of their profession.,"BFxz--U,*Y(s,e3#g9eei5Mbi,IMeenY7Pg7ErTX7iPUZ.1uU5ZIx;5W:kOuEk",62
295,"If it had been written straight off, and then blotted, none would be of a deep black shade.",Cs(P_D#j5MYe58Xi!Fe8bw503Npex-*FM2U^BUUj5sVB(.=;;Z0VrP;5ru<1uEx1QBuP0ku31kviy70Uxg:VB+ZAuZ(,91
296,"I looked at it before,” said Lestrade.",Cs3qMI4ej#q5B3M8<w(rkf3gI;0(.U1X:WNtZ(,38
297,I soon found Briony Lodge.,CKoNgiOIXOga(rR.Ey70r.=kB(,26
298,I could not live there longer without some advice.,"CBDM,a3X31V g,,,*j03FNDZ(r2tBkIrM;5vW.irUuyIR*g_:(",50
299,I rang the bell and was shown up to the chamber which had formerly been in part my own.,"BgNV*HUi0DN,,#OsV3iie5M*,*Z#51-OfiIMjDe3#pV.WQ1uU,Sg7iK;RP;BR;5:XCPiId;ZE.*S=,P1rG6:=Ok",87
300,I understand that it was on a professional matter that you wished to speak to me?’ “‘Undoubtedly so.,"GO88dXIVV1,#*h OZN,=iX5_3V^_VmgEqY#9U-fiB3M*ILOD;(rt*6X7;XI;iKErFcxNI.Q:K5ruKEyi;5BR;*o;=*u1i7yD3k;x",100
301,Impossible!” “It is unfortunately more than possible; it is certain.,"Bp*^(iB9jIx/UM*,-Nj_;*a;(i2VVjIx/(72u0vj161Itx6tKP=2v;Xr2u0vB;1I*6Fk",68
302,Simon marriage case.,Cf* AVMU-0I2rGSgi:K(,20
303,"Obviously something had occurred during the morning, then, to cause her to change her mind.","d1VeV p3#*eVzs*Ze03eF1#V,*FiuN,Nb-sVFiC#O8yFDGmEuk;JNIr;ZEbtvBdrr;5:.rr1uP1R:K5;P;=dQi;P:W2",91
304,"It is a pity, because in other respects you would really have done very nicely.","djBi5jeg5jMNjnV8XiX5JCa,V,GUizsC5DB-M=3.I;g:;=03K51ry5rvT3uEyiy7W#S=XM:.UMkW:Px",79
305,Have you a family?’ “I answered that I had not.,bFNM(3M*8eEp(V18i49NKemooUxIFYBku1rQ5P3;XIrXBkR,47
306,Very much so.” “Then I can wait in the next room.” “Not at all.,"Cm3MGv3*/Vd!e3UiBAUL(U,53GO35Ne P=dd;x=W5rrGr#;1ruUvKWx2=EygIQk",63
307,"You fail, however, to reason from what you see.",CzNK3Mi#(UanVZeejgVjpOXYyEFr;O9P1RW#Rr.JiXIxI5(,47
308,"Good-afternoon, Lestrade!",es3qM!/i^f;/=xGa5SxrWNtZe,25
309,"Simon to honour my head by putting it on a level with his own,” said Sherlock Holmes, laughing.","G1#s,z, -7weeNpOj1-=V31ejj9U-B#1bXN5s,NVNF-#*gUD:.;=Rkt:=5Z0=duW1;ErFvMrUu;;EP1;FBuPk_p.*IWK;WE",95
310,"Besides, what use was my hair to me?","0VZVpV5(Aey3MizDEz,I*IiXIuU#I2;FrR:N",36
311,"Fowler was a very kind-spoken, free-handed gentleman,” said Mrs.","2UNpOjpe^0-8IM0,O!+/=IWNe,Mfie!/(PPiKgpP=A7K2MrEv#X731Pt3Q1;FB?R",64
312,I should not stay here.,CeVs23FND-O.;RtBkIua;P(,23
313,"And there is a little reward, I fancy.","dB4(e5A,e^B,M=ee3NgSBuPU;gW;tUv#71rY7x",38
314,"Come, now, we shall see who agrees with you.","dKVBiq,o#Uezem(ei!Fe,Zz*1kUiUuQr5UN=FvNi;IxR",44
315,I shall certainly do as you advise.” “Do not lose an instant.,bp21UMzw3F#v3C=DMX5f#581Le*jMO.;XS:PXWk:=KEyg_;(=:=kIk5grWuQR,61
316,It had been hacked or torn right out from the roots.,2G-e3V-Od-*FViZV-87MUj5sV26;Z0VrX_3ErRSW1uEuEkBuUkyR,52
317,But how to get to him in safety?,;CfO1Vi#*C-ZU-3RDIRUR1N;=IBW;aNy,32
318,I had something else to think of.” “You did not overhear what they said?” “Lady St.,"b,u)V1I4N,*_UVnVj-GiI5XO32-ri*Zeq,FiC#OsV.;Z;JNIri6UR;IhEx=gy::WyEM6#rNK;5=X:u1<2;R",83
319,"It may have been taken from him.” “No, no; it is, it is his very own writing!” “Very well.","Cji5jVVF:ii1-5j(i(iBe=3iHi v3*iV-O0h*0DemVsV26:a;oU,P;oPEkBI2=E=WJ1I;1;1IIIMkEPirIrj1-kiPk",90
320,I expect that within an hour matters will come to a head.,"dnVMZe#*j1(ebMVXVpUiBi_33CK,.iZ3IuKi;IrQ;yrGuPIUS:JURg;#2",57
321,"You must find your own ink, pens, and blotting-paper, but we provide this table and chair.",*p3NpeDL(i*D0--!3ueeoFF:GDNpe= eri1-NKN1O25NaaIduEWBxtEP1h1*61QB+yIrZZP1DIV:kA*;IIX+UQBdFk,90
